"hash","author","date","message"
"8cc1356","2Usi","2026-03-25","Update .gitignore"
"f77dd9e","2Usi","2026-03-26","Update DatabaseInitializer.cs"
"0fe611f","2Usi","2026-03-26","Detail Reels feature: schema"
"14e34b3","2Usi","2026-03-25","Add Reels repositories"
"556bbf2","2Usi","2026-03-25","Docs: set prefetch to 3 and recommend top-10"
"22fbe72","2Usi","2026-03-25","Add Reels feed UI with playback & recommendations"
"94b2e8f","2Usi","2026-03-25","Add ReelInteractionService and media cleanup"
"a5fe675","2Usi","2026-03-25","Reels feed: watch tracking"
"9176d29","2Usi","2026-03-26","Add Genre alias property to MovieCardModel"
"f0b9c53","2Usi","2026-03-26","Add crash logging"
"c52f29a","2Usi","2026-03-26","Revert ""Delete .vs/ubb-se-2026-meio-ai/DesignTimeBuild/.dtbcache.v2"""
"2fc8697","2Usi","2026-03-26","Add scraping"
"c77c23e","2Usi","2026-03-26","Prune features"
"0bfdce6","2Usi","2026-03-26","Revert ""Merge pull request #17 from Bogzx/feature/reels-upload"""
"d5ce15a","2Usi","2026-03-11","Merge branch 'dev' of https://github.com/Bogzx/ubb-se-2026-meio-ai into dev"
"969caf9","2Usi","2026-03-25","Qualify PreferenceRepository and fix DB conflict"
"84a0caa","2Usi","2026-03-11","Add feature-pitch to spec prompt"
"4c0bb61","2Usi","2026-03-11","tudor.md"
"9d07385","2Usi","2026-03-12","Update Tudor.md"
"e5883d6","2Usi","2026-03-12","Update Tudor.md"
"28ae17f","Cucuteanu Tudor 912","2026-03-26","Merge pull request #14 from Bogzx/feature/personality-match"
"27c8a23","Cucuteanu Tudor 912","2026-03-26","Merge pull request #18 from Bogzx/feature/personality-match"

"309a7cf","Alex","2026-03-27","Merge pull request #26 from Bogzx/test"
"ee1955c","Alex","2026-03-27","Merge pull request #22 from Bogzx/dev"
"ca33c7c","Alex","2026-03-27","Merge branch 'test' of https://github.com/Bogzx/ubb-se-2026-meio-ai into test"
"61a555d","Alex","2026-03-24","Delete text.cs"
"2fecdeb","Alex","2026-03-27","middle step"
"c0bb8d1","Alex","2026-03-24","scaffolding"
"5c4f590","Alex","2026-03-27","updated uml class diagram"
"1dfdde9","Alex","2026-03-24","h"
"4344a2f","Alex","2026-03-25","Implemented the ReelsUpload feature"

"0c32782","bbeatricecretu","2026-03-26","fix thumbnail and crop dimensions"
"319c70d","bbeatricecretu","2026-03-26","some fixes added"
"22ba852","bbeatricecretu","2026-03-26","fix adding reels from scrapping in editing window"
"3b8ece6","bbeatricecretu","2026-03-27","Reels editing updates (exclude ffmpeg binaries)"
"5cb2a8d","bbeatricecretu","2026-03-26","basics"


"00e57ce","Botos Madalina Cristina","2026-03-25","Merge pull request #11 from Bogzx/feature/trailerscraping"
"5803cea","Botos Madalina Cristina","2026-03-25","Merge pull request #6 from Bogzx/feature/movie-swipe"
"297e642","Botos Madalina Cristina","2026-03-26","Merge pull request #13 from Bogzx/origin/feature/reelviewing"
"1642064","Botos Madalina Cristina","2026-03-25","Delete .vs/ubb-se-2026-meio-ai/DesignTimeBuild/.dtbcache.v2"
"0005ac6","Botos Madalina Cristina","2026-03-26","Merge pull request #12 from Bogzx/origin/feature/reelviewing"
"66fe25f","Botos Madalina Cristina","2026-03-25","Merge pull request #8 from Bogzx/origin/feature/reelviewing"
"72e3e21","Botos Madalina Cristina","2026-03-25","Merge branch 'dev' into origin/feature/reelviewing"
"b4f8d24","Botos Madalina Cristina","2026-03-25","Merge branch 'dev' into feature/movie-tournament"
"a841c5b","Botos Madalina Cristina","2026-03-25","Merge pull request #9 from Bogzx/feature/movie-tournament"
"98f69d7","Botos Madalina Cristina","2026-03-25","Delete .vs/ubb-se-2026-meio-ai/DesignTimeBuild/.dtbcache.v2"
"2791fd0","Botos Madalina Cristina","2026-03-25","Delete .vs/ubb-se-2026-meio-ai/DesignTimeBuild/.dtbcache.v2"
"a6d6cb6","Botos Madalina Cristina","2026-03-25","Merge branch 'dev' into feature/trailerscraping"
"1103ee0","Botos Madalina Cristina","2026-03-27","Merge pull request #29 from Bogzx/beatrice"
"3b20904","Botos Madalina Cristina","2026-03-25","Merge pull request #10 from Bogzx/origin/feature/reelviewing"
"149482f","Botos Madalina Cristina","2026-03-27","Merge branch 'dev' into beatrice"
"647ef48","Botos Madalina Cristina","2026-03-27","Merge pull request #25 from Bogzx/test"
"d532c81","Botos Madalina Cristina","2026-03-26","Merge branch 'dev' into feature/reels-editing"
"8d789b5","Botos Madalina Cristina","2026-03-26","Delete .vs/ubb-se-2026-meio-ai/DesignTimeBuild/.dtbcache.v2"
"ec50b79","Botos Madalina Cristina","2026-03-27","Merge pull request #28 from Bogzx/testdoi"
"098e452","Botos Madalina Cristina","2026-03-26","Merge pull request #17 from Bogzx/feature/reels-upload"
"b6fd163","Botos Madalina Cristina","2026-03-26","Merge branch 'dev' into feature/reels-upload"
"c68135c","Botos Madalina Cristina","2026-03-26","Merge pull request #16 from Bogzx/feature/reels-editing"
"c5dbe40","Botos Madalina Cristina","2026-03-27","Change database creation from 'andrei' to 'MeioAiDb'"
"d076cbb","Botos Madalina Cristina","2026-03-27","Merge pull request #20 from Bogzx/tudor3"
"6013534","Botos Madalina Cristina","2026-03-27","Change SQL connection strings to use LocalDB"
"dc810b5","Botos Madalina Cristina","2026-03-27","Remove Synopsis column from database schema"
"f613d32","BotosMadalinaCristina","2026-03-11","madi ReadMe"
"f4055d9","BotosMadalinaCristina","2026-03-27","initial commit"
"66a6bbb","BotosMadalinaCristina","2026-03-25","shitty rules"
"6741111","BotosMadalinaCristina","2026-03-27","alex feature"
"0f2da9b","BotosMadalinaCristina","2026-03-11","madi readme"
"2388137","BotosMadalinaCristina","2026-03-15","final A1"
"c0382cf","BotosMadalinaCristina","2026-03-12","added user flow"
"82ed3f5","BotosMadalinaCristina","2026-03-26","multimple accounts switching"
"c39c1d5","BotosMadalinaCristina","2026-03-24","docs"
"4457450","BotosMadalinaCristina","2026-03-26","match with 6 user"
"743fbc8","BotosMadalinaCristina","2026-03-12","modification in tudor part"
"08e1bda","BotosMadalinaCristina","2026-03-11","Merge branches 'dev' and 'dev' of https://github.com/Bogzx/ubb-se-2026-meio-ai into dev"
"573532b","BotosMadalinaCristina","2026-03-13","DONE lab1"
"3eb3ed3","BotosMadalinaCristina","2026-03-13","madi s task filtered"
"aed566e","BotosMadalinaCristina","2026-03-13","homework done"

"feacc4e","Cosovanu Marius-Gabriel","2026-03-27","Merge pull request #27 from Bogzx/feature/movie-tournament"
"9b452b1","Cosovanu Marius-Gabriel","2026-03-27","Merge branch 'testdoi' into feature/movie-tournament"
"30a0fa2","Cosovanu Marius-Gabriel","2026-03-26","Merge pull request #19 from Bogzx/dev"
"e928f0e","CosovanuGabi912","2026-03-26","Corrected photos and fix update score logic"
"d77cfc2","CosovanuGabi912","2026-03-26","Working ui with validation"
"5b079e9","CosovanuGabi912","2026-03-12","Merge branch 'dev' of https://github.com/Bogzx/ubb-se-2026-meio-ai into dev"
"055d318","CosovanuGabi912","2026-03-12","Fixed my part"
"49fe7ac","CosovanuGabi912","2026-03-27","kljlkj"
"8241285","CosovanuGabi912","2026-03-26","Last version with 3 viewmodels and 3 views"
"6106a8c","CosovanuGabi912","2026-03-12","Changed big class diagram"
"e06ae49","CosovanuGabi912","2026-03-12","Changed Requirement"
"7ead36c","CosovanuGabi912","2026-03-26","Changed ui"
"f221f55","CosovanuGabi912","2026-03-12","Merge branch 'dev' of https://github.com/Bogzx/ubb-se-2026-meio-ai into dev"
"7d37dfd","CosovanuGabi912","2026-03-11","Demo diagrams"
"e419783","CosovanuGabi912","2026-03-27","New Link"
"3e5522b","CosovanuGabi912","2026-03-12","Merge branch 'dev' of https://github.com/Bogzx/ubb-se-2026-meio-ai into dev"
"83fb662","CosovanuGabi912","2026-03-27","NOW IT WORKS"
"11ea90c","CosovanuGabi912","2026-03-27","Deleted diagram"
"86f4744","CosovanuGabi912","2026-03-11","Gabi side of requirements"
"8869e26","CosovanuGabi912","2026-03-27","Finished"
"251c5cb","CosovanuGabi912","2026-03-27","deleted the right one"
"506dac6","CosovanuGabi912","2026-03-27","Update dbdiagram_io.mdj"
"8a37f4b","CosovanuGabi912","2026-03-25","Prima Faza"
"4e6092c","CosovanuGabi912","2026-03-26","Merge branch 'feature/movie-tournament' of https://github.com/Bogzx/ubb-se-2026-meio-ai into feature/movie-tournament"
"9b6dcad","CosovanuGabi912","2026-03-27","last try"
"a14a1c5","CosovanuGabi912","2026-03-26","Nu merge la tudor atat"
"d35a6c5","CosovanuGabi912","2026-03-26","Rezolvat si tudor"


"b21a789","CsavlovicsAlex","2026-03-12","changed the requirements in Alex.md"
"f42f979","CsavlovicsAlex","2026-03-11","Create Andrei.md"
"3eb52cc","CsavlovicsAlex","2026-03-11","Merge branch 'dev' of https://github.com/Bogzx/ubb-se-2026-meio-ai into dev"
"8c98e82","CsavlovicsAlex","2026-03-11","added Alex.md file"

"62b2cfa","FrateleEcho","2026-03-25","Added feature"
"22d81d8","FrateleEcho","2026-03-25","Changed logic"
"08d989a","CO?A ANDREI CRISTIAN","2026-03-25","Update App.xaml.cs"

"ef43b1d","Truta Bogdan-Alexandru","2026-03-11","Initial commit"
"d3891a8","Truta Bogdan-Alexandru","2026-03-26","Merge pull request #21 from Bogzx/feature/bogdan-fixes"
"6bc7e96","Truta Bogdan-Alexandru","2026-03-26","Movie swipe: feed API"
"d06165c","Truta Bogdan-Alexandru","2026-03-11","Create Bogdan.md"
"dd6a3b8","Truta Bogdan-Alexandru","2026-03-11","mov"
"c0be55a","Truta Bogdan-Alexandru","2026-03-26","fix"
"bf28c8a","Truta Bogdan-Alexandru","2026-03-12","Merge branch 'dev' of https://github.com/Bogzx/ubb-se-2026-meio-ai into dev"
"d410d32","Truta Bogdan-Alexandru","2026-03-11","s"
"003aa41","Truta Bogdan-Alexandru","2026-03-12","."
"8d64de2","Truta Bogdan-Alexandru","2026-03-12","Update Bogdan.md"
"ca85589","Truta Bogdan-Alexandru","2026-03-12","Update Bogdan.md"
"ed9bd2b","Truta Bogdan-Alexandru","2026-03-14","Clean"
"89e62a6","Truta Bogdan-Alexandru","2026-03-25","Merge pull request #3 from Bogzx/feature/rules"
"6d346d0","Truta Bogdan-Alexandru","2026-03-11","Merge branch 'dev' of https://github.com/Bogzx/ubb-se-2026-meio-ai into dev"
"07782b9","Truta Bogdan-Alexandru","2026-03-11","Create Beatrice.md"
"93aaad6","Bogzx","2026-03-12","fix"
"5485481","Bogzx","2026-03-24","InitialFiles"
"5676f52","Bogzx","2026-03-25","Merge origin/dev into feature/movie-swipe and resolve .vs conflicts"
"8053984","Bogzx","2026-03-25","Add movie feed"
"f0ce414","Bogzx","2026-03-24","req"
"8cf47ee","Bogzx","2026-03-25","MainFeature"
